-0.9,0.9,0.2,0.93938,0.10438,0.93024
-0.9,1,0.2,0.99795,0.045805,1
-0.8,-1,0.2,1,0.043755,1
-0.8,-0.9,0.2,0.93938,0.10438,0.93024
-0.8,-0.8,0.2,0.91711,0.12664,0.8757
-0.8,-0.7,0.2,0.91711,0.12664,0.8757
-0.8,-0.6,0.2,0.91743,0.12633,0.87856
-0.8,-0.5,0.2,0.91329,0.13047,0.83333
-0.8,-0.4,0.2,0.85847,0.18529,0.76331
-0.8,-0.3,0.2,0.8155,0.22826,0.70842
-0.8,-0.2,0.2,0.8155,0.22826,0.70842
-0.8,-0.1,0.2,0.81766,0.22609,0.71118
-0.8,0,0.2,0.78282,0.26094,0.66667
-0.8,0.1,0.2,0.81766,0.22609,0.71118
-0.8,0.2,0.2,0.8155,0.22826,0.70842
-0.8,0.3,0.2,0.8155,0.22826,0.70842
-0.8,0.4,0.2,0.85847,0.18529,0.76331
-0.8,0.5,0.2,0.91329,0.13047,0.83333
-0.8,0.6,0.2,0.91743,0.12633,0.87856
-0.8,0.7,0.2,0.91711,0.12664,0.8757
-0.8,0.8,0.2,0.91711,0.12664,0.8757
-0.8,0.9,0.2,0.93938,0.10438,0.93024
-0.8,1,0.2,1,0.043755,1
-0.7,-1,0.2,0.95957,0.084186,0.95825
-0.7,-0.9,0.2,0.93938,0.10438,0.93024
-0.7,-0.8,0.2,0.91711,0.12664,0.8757
-0.7,-0.7,0.2,0.88012,0.16363,0.79097
-0.7,-0.6,0.2,0.87788,0.16588,0.7881
-0.7,-0.5,0.2,0.88012,0.16363,0.79097
-0.7,-0.4,0.2,0.85847,0.18529,0.76331
-0.7,-0.3,0.2,0.8155,0.22826,0.70842
-0.7,-0.2,0.2,0.75013,0.29362,0.62492
-0.7,-0.1,0.2,0.74797,0.29578,0.62215
-0.7,0,0.2,0.75013,0.29362,0.62492
-0.7,0.1,0.2,0.74797,0.29578,0.62215
-0.7,0.2,0.2,0.75013,0.29362,0.62492
-0.7,0.3,0.2,0.8155,0.22826,0.70842
-0.7,0.4,0.2,0.85847,0.18529,0.76331
-0.7,0.5,0.2,0.88012,0.16363,0.79097
